Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
186,Kemba Walker\walkeke02,25-276,G,2016-02-08,CHO,,CHI,W,1,36,8,19,.421,4,10,.400,4,9,.444,10,13,.769,3,4,7,8,3,0,2,1,30,28.2
187,Russell Westbrook\westbru01,27-088,G,2016-02-08,OKC,@,PHO,W,1,36,8,19,.421,6,14,.429,2,5,.400,11,12,.917,3,5,8,8,2,0,6,4,29,22.1
188,Derrick Rose\rosede01,27-124,G,2016-02-05,CHI,@,DEN,L,1,35,13,27,.481,13,24,.542,0,3,.000,4,6,.667,2,7,9,8,1,0,2,1,30,23.2
189,Gordon Hayward\haywago01,25-315,F-G,2016-02-01,UTA,,CHI,W,1,44,9,20,.450,8,14,.571,1,6,.167,8,10,.800,3,9,12,7,1,0,3,3,27,22.3
190,James Harden\hardeja01,26-157,G,2016-01-30,HOU,,WAS,L,1,37,12,20,.600,6,11,.545,6,9,.667,10,10,1.000,1,6,7,11,4,0,2,5,40,41.0
191,James Harden\hardeja01,26-156,G,2016-01-29,HOU,@,OKC,L,1,39,8,22,.364,6,15,.400,2,7,.286,15,17,.882,0,7,7,7,2,1,3,2,33,25.9
192,Russell Westbrook\westbru01,27-075,G,2016-01-26,OKC,@,NYK,W,1,44,13,24,.542,13,22,.591,0,2,.000,4,5,.800,2,6,8,10,3,0,5,3,30,25.0
193,James Harden\hardeja01,26-152,G,2016-01-25,HOU,@,NOP,W,1,41,11,20,.550,8,15,.533,3,5,.600,10,10,1.000,0,11,11,8,1,1,2,4,35,32.4
194,Kevin Durant\duranke01,27-117,F-G,2016-01-24,OKC,@,BRK,L,1,41,11,22,.500,9,12,.750,2,10,.200,8,10,.800,0,10,10,7,2,1,5,3,32,24.6
195,Russell Westbrook\westbru01,27-073,G,2016-01-24,OKC,@,BRK,L,1,40,12,27,.444,11,23,.478,1,4,.250,2,5,.400,2,9,11,7,1,0,3,1,27,18.3
196,Stephen Curry\curryst01,27-314,G,2016-01-22,GSW,,IND,W,1,37,11,19,.579,3,4,.750,8,15,.533,9,9,1.000,2,8,10,12,1,0,2,1,39,40.9
197,Kemba Walker\walkeke02,25-259,G,2016-01-22,CHO,@,ORL,W,1,46,14,28,.500,12,21,.571,2,7,.286,10,12,.833,0,7,7,9,4,1,2,0,40,36.3
198,Carmelo Anthony\anthoca01,31-236,F,2016-01-20,NYK,,UTA,W,1,42,13,20,.650,13,19,.684,0,1,.000,4,4,1.000,1,6,7,9,0,0,2,3,30,26.8
199,James Harden\hardeja01,26-147,G,2016-01-20,HOU,,DET,L,1,36,9,22,.409,6,15,.400,3,7,.429,12,12,1.000,2,15,17,14,1,0,6,5,33,29.9
200,Kemba Walker\walkeke02,25-255,G,2016-01-18,CHO,,UTA,W,1,47,16,33,.485,10,22,.455,6,11,.545,14,15,.933,1,8,9,8,2,0,3,3,52,41.4
